anv_verb;diaz_verb;rummad;galleg;saozneg
adderc'hel;addalc'h;d1;retenir, recontenir, remaintenir, retenir, resoutenir, "re-continuer", réinsister, repersister, réassurer, redistribuer, réinhiber;to hold, to contain once more, to remaintain, to retain, to support once more, to recontinue, to reinsist, to repersist, to reassure, to redistribute, to inhibit once again
addeskiñ;addesk;d1;réapprendre, rééduquer;relearn
addezrannañ;addezrann;d1;reanalyzer, recritiquer;reanalyse
addiazezañ;addiazez;d1;ré-établir, "rebaser", réaffirmer, réassoir (autorité...), redigérer, refonder, réinstaller, repréparer;re-etablish
addibab;addibab;d1;rechoisir, retrier;rechoose
addibuniñ;addibun;d1;redéfiller, redérouler, rediver, remanifester, reparader, repasser (à un endroit), reraconter, réciter de nouveau, relister, réénumérer;#saozneg
addigeriñ;addigor;d1;rouvrir, ré-inaugurer, ré-évaser, ré-ouvrir;reopen
addihuniñ;addihun;d1;réveiller de nouveau;#saozneg
addilenn;addilenn;d1;rééelire;reelect
addimeziñ;addimez;d1;se remarier;wed again
addiskenn;addiskenn;d1;redescendre;#saozneg
addiskouez;addiskouez;d1;remontrer;#saozneg
addisplegañ;addispleg;d1;ré-expliquer, redéplier, ployer de nouveau, commenter;#saozneg
addistreiñ;addistre;d1;revenir de nouveau;#saozneg
addiuzañ;addiuz;d1;reselectionner, rechoisir;reselect
addivizout;addiviz;d1;redécider;#saozneg
addornañ;addorn;d1;battre (par ex: le blé) une seconde de nouveau, une seconde fois (agriculture);#saozneg
addougen;addoug;d1;reporter, se représenter (à une éléction);#saozneg
addresañ;addres;d1;réparer de nouveau;#saozneg
adeeunañ;adeeun;d1;recorriger, remettre en place, rajuster;#saozneg
adeiladiñ;adeilad;d1;construire une maison, une construction, quelquechose;#saozneg
adembann;adembann;d1;rééditer, réimprimer, reproclamer, repromulger;#saozneg
ademezelañ;ademezel;d1;(se) réinscrire, devenir membre par envie (dans une organisation, une association, un partie.);#saozneg
ademprañ;adempr;d1;réemboîter, remboîter;#saozneg
adenaouiñ;adenaou;d1;réallumer (une lumière, feu), réanimer (un corps), réinspirer, raviver, provoquer de nouveau, réactiver (informatique);#saozneg
adenbeniañ;adenbeni;d1;rembobiner;rewind
adenkorfañ;adenkorf;d1;réincorporer, réincarner, réssusciter;#saozneg
adenkrezañ;adenkrez;d1;resortir de l'angoisse, se réinquiéter (par ex. au sujet de qqn), réavoir de la peine, se réaffliger, se rechagriner, se remolester, se réimportuner, se retourmenter, se represser (stresser);#saozneg
adenrollañ;adenroll;d1;ré-enregistrer, se ré-enroler, ré-incorporer;#saozneg
adensilañ;adensil;d1;se ré-infiltrer, se ré-insérer, se reglisser (comme une anguille);#saozneg
adenvel;adanv;d1;renommer;rename
aderañ;ader;d1;adhérer;#saozneg
aderen;aderen;d1;lier de nouveau, re-lier;#saozneg
adesaeañ;adesae;d1;réessayer;try again
adeurediñ;adeured;d1;(se) remarrier;#saozneg
adevañ;adev;d1;reboire;redrink
adezteuler;adeztaol;d1;(se) réexprimer, reformuler;#saozneg
adeñvoriñ;adeñvor;d1;reméditer, resonger, se souvenir, se rappeller, repenser à, rechercher à savoir, se repasser (qqc en mémoire), se ressouvenir;#saozneg
adfalc'hañ;adfalc'h;d1;refaucher;#saozneg
adfaoutañ;adfaout;d1;(se) refendre, redire, reprononcer mal, récorcher (une langue), refaire parcourir du chemin, (se) recrevasser;#saozneg
adfeilhañ;adfeilh;d1;rechuter, récidiver;#saozneg
adfekañ;adfek;d1;refouiner, ramender, refaire son curieux;#saozneg
adfeurañ;adfeur;d1;refourrer (remettre au fourreau), retaxer, refixer un prix, retraiter/repasser un marché avec quelqu'un, recouvrir, regarnir de fourrure, remettre dans une gaine, réengaîner, rengainer;#saozneg
adfeurmiñ;adfeurm;d1;relouer (à qqn), reprendre en location, redonner à ferme, prendre à ferme,;#saozneg
adfoenniñ;adfoenn;d1;refâner (le foin);#saozneg
adfoñsañ;adfoñs;d1;reconstituer le plancher (d'une pièce), refaire le fond (d'une pièce), refoncer/mettre un fond à (qqch), remettre un fond à (un pantalon);#saozneg
adframmañ;adframm;d1;rejoindre, réassambler, réunir, remodeler, réorganiser, rejeter, refaire avec soin, resauter (sur qqn), refondre (sur qqn), se reprécipiter (sur qqn), refoncer (sur qqn), se relancer à la poursuite de qqn, se reprécipiter;#saozneg
adfreskañ;adfresk;d1;rafraîchir, reblanchir;#saozneg
adgervel;adgalv;d1;#galleg;#saozneg
adgoulenn;adgoulenn;d1;#galleg;#saozneg
adgounit;adgounez;d1;#galleg;#saozneg
adhadañ;adhad;d1;resemer, réensemencer, réemblaver la terre, replanter, ré-épandre;#saozneg
adhejañ;adhej;d1;resecouer, réagiter, réhausser (les épaules), remuer de nouveau, rebouger, se rebalancer, se débattre de nouveau, s'efforcer de nouveau;#saozneg
adheñchañ;adheñch;d1;re-montrer le chemin a qqn, reguider qqn, reguider moralement qqn, refaire route, réorienter qqn;#saozneg
adhouarnañ;adhouarn;d1;referrer, réendurcir (fig.), repasser de nouveau (linges);#saozneg
adijinañ;adijin;d1;ré-imaginer, ré-inventer, recréer, se redébattre;#saozneg
adjediñ;adjed;d1;re-calculer, recompter, compter de nouveau, calculer de nouveau;to recalculate, recount
adjogañ;adjog;d1;rejauger, jauger de nouveau;to measure, to remeasure
adjujiñ;adjuj;d1;rejuger;to retry
adjuntañ;adjunt;d1;rejoindre, réaccorder (deux bouts, pas un instrument), reconclure (un marché), réaller à qqn (vêtement);to rejoin
adkachediñ;adkached;d1;recacheter, remettre un cachet sur qqchs;to reseal, to put a stamp back on something
adkanañ;adkan;d1;rechanter, reprendre (un chant);to sing again, to take up again (a song)
adkannañ;adkann;d1;relaver, rebattre (le linge), reblanchir (le linge);to clean again, (the washing), to whitewash
adkaret;adkar;d1;re-aimer, ré-attacher au fond de la casserole;relearn to love,
adkargañ;adkarg;d1;recharger (ex. une arme), remplir, emplir de nouveau;reload (ex. a weapon)
adkas;adkas;d1;renvoyer, ramener;to resend
adkavout;adkav;d1;retrouver;to find something again, to rediscover
adkemer;adkemer;d1;reprendre;retake
adkemmeskañ;adkemmesk;d1;remélanger (qqchs);to remix
adkempenn;adkempenn;d1;réarranger, remoduler, réparer de nouveau, remettre en état, refaire un brin de toillette (par ex. figure, ménage), refaire un brin de ménage, refaire le ménage;to rearrange, remodulate, to repair once again, refurbish
adkempouezañ;adkempouez;d1;rééquilibrer, rébalancer (son), réaplanir, contrebalancer de nouveau, restabiliser, recompenser, compenser de nouveau;to readjust, rebalance, relevel, counterbalance once again, restabilize, recompensate, to compensate once more
adkenemprañ;adkenempr;d1;réinserer;to reinsert
adkennaskañ;adkennask;d1;reconnecter, réattacher (bétail), réattacher les bêtes à cornes à l'étable avec la corde appelée "nask", être mis au pas de nouveau, se remettre sous l'autorité de qqn;reconnect
adkevraouiñ;adkevraou;d1;renégocier, base de négociation;renegociate
adkevreañ;adkevre;d1;reconnecter, relier de nouveau (lien);reconnect
adkleuzañ;adkleuz;d1;(se) recreuser, raviner de nouveau, refonder, rebâtir, recreuser un fossé;to re-dig, furrow onced again, refound, rebuild, to re-dig a ditch
adklevet;adklev;d1;ré-entendre, ressentir de nouveau (une odeur), sentir de nouveau (une odeur), resoigner, réexaucer;to relisten
adkoachañ;adkoach;d1;(se) recacher;to hide oneself once more
adkoadañ;adkoad;d1;reboiser;to afforest, replant something with trees
adkoefiñ;adkoef;d1;reporter la coiffe, remettre la coiffe;#saozneg
adkomañs;adkomañs;d1;recommencer, reprendre (par ex. un jeu);restart
adkonkeriñ;adkonker;d1;reconquérir, réengloutir, regagner (qqn à une cause), réamasser (des récoltes), repulluler;to reconquer, reengulf, to win back (someone), regather (the harvest), to proliferate once more
adkontañ;adkont;d1;recompter (ex. des votes), reconter (ex. une histoire);to recount (ex. the number of votes), to retell (ex. a story)
adkouezhañ;adkouezh;d1;retomber, rechuter;to refall, to fall again
adkoumanantiñ;adkoumanant;d1;(se) ré-abonner, recontracter, réappointer, réaffermer;#saozneg
adkrapañ;adkrap;d1;regrimper, recrapahuter, recramponner;to climb back on, to yomp once more, to climg to
adkregiñ;adkreg;d1;recommencer, reprendre (ex. jeu), (se) ressaisir, se remettre (à une activité), remordre;to restart, resume (ex. a game), to pull oneself together, to take something up again (an activity), to bite once more
adkreizañ;adkreiz;d1;recentrer, remettre au centre, remettre en ordre, remettre propre, remettre droit;to refocus, recentre
adkreskiñ;adkresk;d1;repousser, recroître, regrandir, recommencer à grandir/croître/repousser;regrow
adkrouiñ;adkrou;d1;recréer, refonder, restaurer, remettre au monde, remettre bas, refaire (qqchs), reconcevoir, reformer, ré-engendrer;recreate
adlammat;adlamm;d1;re-sauter, redéguerpir, se reprécipiter, rebattre (en parlant du coeur), faire des ricochets de nouveau, réavoir des vagues (en parlant de la mer), rejaillir;to jump again, to flee once more, to precipitate oneself again
adlavaret;adlavar;d1;redire;repeat, reiterate, retell
adlañsañ;adlañs;d1;relancer, reforcir, recommencer (qqchs), repartir, redémarrer, aller vite de nouveau, redistancer, gagner du terrain sur/remonter (en parlant d'un poursuivant), réavoir de l'avantage, rejeter loin, vomir de nouveau, se re-elancer;to throw something again, restrengthen, to restart (something)
adleinañ;adlein;d1;redîner;to have dinner once again
adlenn;adlenn;d1;relire;reread
adliammañ;adliamm;d1;relier (plusieurs choses, livres, des pierres avec du mortier...), réattacher, religoter, lier de nouveau, recercler (barriques), reliaisonner;#saozneg
adlivañ;adliv;d1;repeindre, être repeint;to repaint, to be repainted
adloc'hañ;adloc'h;d1;relancer, (se) recoincer, (s') arrêter de nouveau, refaire bouger, remuer, redéplacer, redébusquer, requitter (un endroit), redémarrer;#saozneg
adlodennañ;adlodenn;d1;repartager, remembrer (agriculture), répartir de nouveau, partager de nouveau (en, entre);#saozneg
adlonkañ;adlonk;d1;ravaler, reboire, réengloutir, réabsorber, regloutonner, reboire de l'alcool avec excès, rehumer, recroîre, redilapider, être réavalé;#saozneg
adloukiñ;adlouk;d1;#galleg;#saozneg
adlâret;adlâr;d1;redire;repeat, reiterate, retell
administrañ;administr;d1;administrer;administrate
admirañ;admir;d1;admirer (qqn/qqchs), regarder avec admiration, (s')en mettre pleins les yeux, contempler;admire
adnac'h;adnac'h;d1;renier une seconde fois, renier de nouveau;#saozneg
adnerzhañ;adnerzh;d1;redonner du nerf, redonner des forces à, encourager;#saozneg
adneveziñ;adnevez;d1;renouveller, remettre à neuf, remettre en état;renew
adniveriñ;adniver;d1;recompter, renumériser;recount, renumber
adonañ;adon;d1;labourer profondément, maîtriser, connaître un sujet;#saozneg
adoptañ;adopt;d1;adopter;adopt
adoriñ;ador;d1;(s')adorer, (se) sacrifier, aimer qqchs;to adore oneself, to sacrifice oneself, to love something
adouestlañ;adouestl;d1;reconsacrer, consacrer à nouveau (qqn/qqchs);rededicate, dedicate oneself once more (to someone/something)
adouilhañ;adouilh;d1;ouiller, faire le plein, boire un deuxième coup;to top (something) up, to fill up, to have another round (drink)
adpakañ;adpak;d1;remettre (qqc) dans son paquet, réattraper, panser (une plaie) de nouveau;#saozneg
adpaperañ;adpaper;d1;tapisser de nouveau, retapisser (les murs);to redecorate (the walls)
adpavezañ;adpavez;d1;repaver, redaller (de pierre);to repave (with stone)
adpediñ;adped;d1;réinviter, supplier, reprier (relijion);#saozneg
adpellgargañ;adpellgarg;d1;retélécharger;redownload
adpellgomz;adpellgomz;d1;retéléphoner;to call back
adperc'hennañ;adperc'henn;d1;(se) réaproprier, redevenir possesseur de qqc, reposséder (courant & religion), réadopter (qqn/qqc);reapropriate
adpignat;adpign;d1;remonter;#saozneg
adpikañ;adpik;d1;repiquer, ré-aiguillonner (piquer), repercer, retailler les pierres, refaire une piqûre, rebroder, remodre (serpent), rebiner (jardin), rebecquer, (se) revexer, (se) réassoir/planter son derrière, réémouvoir, réattendrir, reserrer au vent, remarcher;#saozneg
adplantañ;adplant;d1;replanter;to replant
adplasañ;adplas;d1;replacer, remplacer, remettre à sa place;to put back, to replace, to put something back in its place
adplastrañ;adplastr;d1;replâtrer (qqc);to replaster (something)
adplegañ;adpleg;d1;replier (qqc);to fold up (something)
adpoazhañ;adpoazh;d1;recuire (qqc);to reboil
adpoblañ;adpobl;d1;repopuler (un lieu);to repopulate (a place)
adpokat;adpok;d1;embrasser de nouveau (baiser/bisou);to rekiss
adpouezañ;adpouez;d1;repeser;to weight again
adpourchas;adpourchas;d1;refournir, se procurer de nouveau, réapprovisionner;to provide (again), to reobtain, to restock
adprenañ;adpren;d1;réacheter, racheter (commerce et religion);to buy again, to buy back (commerce and religion)
adprennañ;adprenn;d1;revérouiller, refermer à clef (porte, aussi avec un morceau de bois = prenn),;to relock, to reclose by key (door, also with a piece of wood)
adprometiñ;adpromet;d1;repromettre, promettre de nouveau;to repromise, to promise again
adrannañ;adrann;d1;repartager, rediviser, reséparer, repartager en plusieurs parties, reprononcer, redire, rebarvader, rediscuter, se refendre, se recrevasser;to reshare, to redivide, to reseparate, to split into several pieces, to pronounce again, to repeat, to resume chattering, to rediscuss, to resplit, to crack again
adraskañ;adrask;d1;regratter, redétruire, remettre à bas;to scratch again, to destroy again, to shatter once more
adredek;adredek;d1;recourir, retrotter, réaller vite, realler et venir, repartir, vaguer de nouveau, errer de nouveau, réavoir la diarrhée, rebouillir (fig), refaire couler (en plt d'un liquide, d'un cours d'eau), repasser (temps) refaire courir, redécamper,  refréquenter;to resume running, to scurry (about) once more, to restart quickly, to come and go, to set off again, to wander (about) once more, to once again have diarrhoea, to reboil (fig), to make flow once again, to pass again (time), to restart running, to scarper
adreizhañ;adreizh;d1;recorriger, réadapter, réformer;(to) recorrect, fix, rectify, adapt, adjust, reform, retrain
adrenkañ;adrenk;d1;réorganiser, ranger de nouveau,;(to) reorganise, rearrange
adrentañ;adrent;d1;rendre de nouveau, refaire ses besoins,;(to) render, give back, defecate
adresiñ;adres;d1;adresser;(to) address
adretorn;adretorn;d1;(se) retourner de nouveau;return back
adreñvañ;adreñv;d1;reculer;move back
adsailhañ;adsailh;d1;rebondir;(to) leap back, jump back
adsammañ;adsamm;d1;(se) charger de nouveau, réaccabler, réemporter, redévaliser, réadditionner;(to) load back, afflict back, take away back, raid back, add back
adsankañ;adsank;d1;réenfoncer, rentrer de nouveau;(to) press, sink, enter again
adsavadennañ;adsavadenn;d1;élever de nouveau, réamonceler;(to) pile, accumulate back
adsavelañ;adsavel;d1;rétablir;restore, rebuild, mend, re-establish, reestablish, rebalance
adselaou;adselaou;d1;réécouter;(to) listen back (to)
adsellet;adsell;d1;revoir, regarder de nouveau, revérifier;(to) revise, see again, look again, check again
adserriñ;adserr;d1;refermer;(to) reclose
adservijout;adservij;d1;reservir;(to) serve again
adsevel;adsevel;d1;remonter un objet, reconstruire, rebâtir, reconstituer, restituer;(to) rebuild, reconstitute, restore
adsiellañ;adsiell;d1;sceller de nouveau, cacheter de nouveau;(to) seal again
adskediñ;adsked;d1;refléter de nouveau;(to) reflect again
adskeudenniñ;adskeudenn;d1;représenter de nouveau;(to) represent
adskignañ;adskign;d1;redifuser;to repeat, to rerun
adskoulmañ;adskoulm;d1;renouer;to renew
adskrivañ;adskriv;d1;réécrire;to rewrite
adskriverezañ;adskriverez;d1;redactylographier;to retype (out)
adsoudañ;adsoud;d1;ressouder;to reweld
adsoñjal;adsoñj;d1;repenser;to rethink
adstagañ;adstag;d1;réattacher, recommencer;reattach, restart
adstandilhonañ;adstandilhon;d1;rééchantillonner;re-sample
adstardañ;adstard;d1;resserrer;to tighten
adsteuñviñ;adsteuñv;d1;réourdir ; retramer ; refomenter ; retendre (des pièges) ; redresser le plan, le projet (de);to hatch, to concoct a plan once again, to stir up, to reset (traps), to sort out the plan, the project (of)
adstignañ;adstign;d1;(se) redétendre/retendre, & (se) redéclencher.;#saozneg
adstouvañ;adstouv;d1;reboucher;to recork, to block up again
adstrewiñ;adstrew;d1;renouveler la jonchée (du sol d'une maison), rejoncher, rééparpiller, répandre de nouveau, reparsemer, redisséminer;#saozneg
adstrollañ;adstroll;d1;regrouper;regroup
adstummañ;adstumm;d1;reformer;reform
adtachañ;adtach;d1;reclouer; regarnir de clous;to renail, to restock with nails
adtanañ;adtan;d1;réallumer (le feu), réincendier;reignite (the fire), to reset on fire
adtaolenniñ;adtaolenn;d1;reproduire (un tableau, une scène, …);to reproduce (a painting, a scene, …)
adtaoliñ;adtaol;d1;essaimer une seconde fois;to spread out for a second time
adtapout;adtap;d1;rattraper;to catch
adtennañ;adtenn;d1;retirer (par ex: au fusil);#saozneg
adtermeniñ;adtermen;d1;respécifier, redéterminer (qqch);to respecify, to redetermine (something)
adteurel;adtaol;d1;rejeter, jeter de nouveau;#saozneg
adteuziñ;adteuz;d1;refondre;to melt down again
adtommañ;adtomm;d1;réchauffer;to reheat
adtorchañ;adtorch;d1;réessuyer, retorcher;to wipe up again, to rub again
adtoullañ;adtoull;d1;repercer;to repierce
adtouzañ;adtouz;d1;retondre;to shave (something) again
adtreiñ;adtre;d1;retourner, retraduire;to turn (something) over, to retranslate
adtremen;adtremen;d1;repasser quelquepart;to go by somewhere once more
adtreuziñ;adtreuz;d1;retraverser;to cross (something) again
adtreuzkas;adtreuzkas;d1;retransmettre;to relay
adtroadañ;adtroad;d1;reprendre pied; reemmancher; reimplanter (une idée); refaire accroire (des mensonges); se réadapter (gant à);#saozneg
adtroc'hañ;adtroc'h;d1;recouper;to recut, to cut something again
adtroniñ;adtron;d1;réintroniser, réinstaller (un tribunal, une statue) ; retrôner;to reenthrone, to reestablish (a tribunal, a statue), to reenthrone
adunaniñ;adunan;d1;réunir;to reunite
adunvaniñ;adunvan;d1;réunifier;reunify
advabañ;advab;d1;adopter (un garçon);to adopt (a boy)
advadeziñ;advadez;d1;rebaptiser;rebaptize
advalañ;adval;d1;remoudre;to regrind
advarrekaat;advarrek;d1;rendre plus fort de nouveau;to make more powerful once more
advegañ;adveg;d1;remettre une pointe, repiquer, remordre, réémouvoir, réaffliger;#saozneg
advenel;advenel;d1;rester de nouveau, rééchouer;#saozneg
advennigañ;advennig;d1;rebénir;to bless once again
adventañ;advent;d1;redimensionner;resize
adverat;adver;d1;repétrir;to knead once again
adverañ;adver;d1;réadministrer, régir de nouveau, regérer;readminister, to govern once again, to rehandle
adverc'hañ;adverc'h;d1;adopter (une fille);to adopt (a girl)
adverennañ;adverenn;d1;recollationner, reprendre la collation;to collate once again, to resume the collation
adverkañ;adverk;d1;marquer de nouveau, remarquer;to mark once again
adveskañ;advesk;d1;remélanger, rebattre (les cartes);to mix up, to reshuffle (the cards)
advevañ;advev;d1;revivre ou faire revivre;#saozneg
advezañ;advez;d1;être de nouveau;#saozneg
advizskrivañ;advizskriv;d1;redactylographier, retaper (au clavier);to retype (on the keyboard)
advoazañ;advoaz;d1;(se) réaccoutumer; (s') habituer de nouveau;to get used to something again
advonnañ;advonn;d1;reborner, relimiter, redélimiter;to mark out the boundaries once again, to relimit, to delimit once again
advont;advont;d1;aller de nouveau;to return once again
advorañ;advor;d1;aller de nouveau en mer;to return to the sea
advotiñ;advot;d1;revoter;revote
advoullañ;advoull;d1;réimprimer;reprint
advountañ;advount;d1;repousser (qqn, qqch);to turn down, to spurn somebody's advances
advouskomz;advouskomz;d1;remarmonner;to mumble away once again
advugelañ;advugel;d1;adopter (un enfant);to adopt (a child)
advuhezañ;advuhez;d1;revivre, réanimer;to come alive again, to reanimate
adwalc'hiñ;adwalc'h;d1;relaver;to wash (something) again
adwarnisañ;adwarnis;d1;regarnir;to restock
adwelet;adwel;d1;revoir;to see again
adwennañ;adwenn;d1;reblanchir, redevenir blanc;to whiten, to become white once again
adwerzhañ;adwerzh;d1;revendre;to resell
adwerziñ;adwerz;d1;faire des vers (poésie);to write verses (poetry)
adwiskañ;adwisk;d1;reporter, remettre (un vêtement);to wear again, to put back on (an item of clothing)
aelañ;ael;d1;profiler;to profile
aeradenniñ;aeradenn;d1;(se) lézarder;to crack
aerañ;aer;d1;aérer;to air, to ventilate
aerreizhañ;aerreizh;d1;conditionner l'air (d'une salle, …);control the temperature (of a hall, …)
aerstlejañ;aerstlej;d1;aéroremorquer;#saozneg
aervombezañ;aervombez;d1;aerobombarder;#saozneg
aezañ;aez;d1;faciliter, rendre aisé, mettre à l'aise;facilitate
aezhennañ;aezhenn;d1;exhaler;to exhale
afamiñ;afam;d1;affamer;to starve
afañ;af;d1;baiser;to kiss
afec'h;afec'h;d1;#galleg;#saozneg
afesoniñ;afeson;d1;enjoliver, orner;to embellish, to decorate
afiiñ;afi;d1;#galleg;#saozneg
aflijañ;aflij;d1;affliger;to afflict, to distress
afliñ;afl;d1;(se) calmer, (s') appaiser;to calm, to appease (oneself)
afourchiñ;afourch;d1;affourcher;to secure a boat with two anchors
afrontañ;afront;d1;affronter;to confront
afudiñ;afud;d1;#galleg;#saozneg
ahediñ;ahed;d1;allonger;to lie down
ahelañ;ahel;d1;mettre un essieu, un axe (à);to fit an axle (to)
aheurtiñ;aheurt;d1;(s') acharner, (s') obstiner;to persevere desperately, to persist
ajournañ;ajourn;d1;ajourner, actionner;to postpone, to activate
ajoutañ;ajout;d1;ajouter;to add
akediñ;aked;d1;être assidu, être attentif;to be diligent, attentive
aketat;aket;d1;être assidu, être attentif;to be diligent, attentive
aketiñ;aket;d1;être assidu, être attentif, (s') appliquer, (s') employer;to be diligent, attentive
akipañ;akip;d1;(s') équiper, équiper un vaisseau, arranger;to equip oneself, to equip a ship, arrange
akliniñ;aklin;d1;faire la révérence, fléchir les genoux;to curtsey, bend the knees
akordañ;akord;d1;(s') accorder, (se) réconcilier, (s') entendre;to agree, to reconcile, to understand with one another
akosioniñ;akosion;d1;#galleg;#saozneg
akoursiñ;akours;d1;accoutumer;to acustom to, to get used to
akoutal;akout;d1;être aux écoutes;to be all ears, to be attentive
